,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
79,SMACross,6,48,-0.0028,29.4224,36.0000,11.0000,25.0000,0.3056,524.5844,-233.6820,2.0000,7.0000,2.2449,331,330,475,210,336.5000
80,SMACross,6,49,0.0604,30.0118,34.0000,10.0000,24.0000,0.2941,606.1914,-229.3274,2.0000,6.0000,2.6433,193,341,537,54,281.2500
81,SMACross,6,50,0.0915,28.8277,34.0000,10.0000,24.0000,0.2941,615.4937,-220.2854,3.0000,8.0000,2.7941,139,315,537,30,255.2500
82,SMACross,7,10,-0.4169,47.5617,145.0000,52.0000,93.0000,0.3586,127.8025,-114.6716,4.0000,9.0000,1.1145,621,599,218,587,506.2500
83,SMACross,7,11,-0.2723,37.1422,122.0000,42.0000,80.0000,0.3443,172.2100,-122.1078,3.0000,7.0000,1.4103,575,543,276,549,485.7500
84,SMACross,7,12,-0.2904,35.4794,110.0000,39.0000,71.0000,0.3545,166.4684,-129.7731,4.0000,14.0000,1.2828,578,509,235,576,474.5000
85,SMACross,7,13,-0.3573,42.2075,100.0000,36.0000,64.0000,0.3600,177.9793,-153.3576,3.0000,10.0000,1.1606,600,590,211,583,496.0000
86,SMACross,7,14,-0.3715,41.6600,90.0000,31.0000,59.0000,0.3444,202.0868,-166.4043,4.0000,9.0000,1.2144,605,588,275,580,512.0000
87,SMACross,7,15,-0.3251,40.8907,84.0000,26.0000,58.0000,0.3095,253.9134,-166.8736,3.0000,11.0000,1.5216,588,582,460,525,538.7500
88,SMACross,7,16,-0.2590,36.1128,77.0000,22.0000,55.0000,0.2857,331.5713,-176.2461,3.0000,9.0000,1.8813,568,525,563,391,511.7500
89,SMACross,7,17,-0.1961,30.4539,72.0000,22.0000,50.0000,0.3056,311.5827,-172.1824,3.0000,8.0000,1.8096,556,350,475,424,451.2500
90,SMACross,7,18,-0.1474,26.0819,68.0000,24.0000,44.0000,0.3529,282.4717,-182.5891,3.0000,7.0000,1.5470,511,243,242,522,379.5000
91,SMACross,7,19,-0.0143,22.8959,63.0000,22.0000,41.0000,0.3492,292.1125,-154.0398,4.0000,7.0000,1.8963,343,168,257,384,288.0000
92,SMACross,7,20,0.0314,20.9336,58.0000,20.0000,38.0000,0.3448,323.2549,-154.8849,3.0000,6.0000,2.0871,258,130,271,289,237.0000
93,SMACross,7,21,0.0706,21.3541,56.0000,20.0000,36.0000,0.3571,329.2509,-155.6696,3.0000,6.0000,2.1151,174,137,223,272,201.5000
94,SMACross,7,22,0.1085,20.7432,52.0000,20.0000,32.0000,0.3846,323.6324,-159.3862,4.0000,5.0000,2.0305,104,129,126,323,170.5000
95,SMACross,7,23,0.0770,20.6462,52.0000,19.0000,33.0000,0.3654,337.7840,-162.6996,3.0000,5.0000,2.0761,163,127,200,300,197.5000
