Aggregated trade id,Price,Quantity,First breakdown trade id,Last breakdown trade id,Trade time,Maker,Ignored
67395337,0.00188040,2.20000000,81761430,81761430,1595459895145,False,True
67395338,0.00188080,1.85000000,81761431,81761431,1595459895251,False,True
67395339,0.00188080,0.67000000,81761432,81761432,1595459895456,False,True
67395340,0.00188050,5.35000000,81761433,81761433,1595459899089,False,True
67395341,0.00188060,1.40000000,81761434,81761434,1595459899089,False,True
67395342,0.00188060,4.47000000,81761435,81761435,1595459904329,False,True
67395343,0.00188090,0.94000000,81761436,81761436,1595459905066,False,True
67395344,0.00188070,0.46000000,81761437,81761437,1595459908458,False,True
67395345,0.00188060,1.69000000,81761438,81761438,1595459909276,False,True
67395346,0.00188060,0.16000000,81761439,81761439,1595459910681,False,True
67395347,0.00188050,0.43000000,81761440,81761440,1595459910889,False,True
67395348,0.00188040,5.35000000,81761441,81761441,1595459916633,False,True
67395349,0.00188090,0.64000000,81761442,81761442,1595459916633,False,True
67395350,0.00188040,1.78000000,81761443,81761443,1595459920879,True,True
67395351,0.00188010,0.28000000,81761444,81761444,1595459920879,True,True
67395352,0.00187970,46.66000000,81761445,81761446,1595459920879,True,True
67395353,0.00188060,0.06000000,81761447,81761447,1595459920923,False,True
67395354,0.00188090,1.64000000,81761448,81761449,1595459920923,False,True
67395355,0.00188100,2.91000000,81761450,81761450,1595459920923,False,True
67395356,0.00188120,46.72000000,81761451,81761451,1595459920923,False,True
67395357,0.00188030,0.68000000,81761452,81761452,1595459922632,True,True
67395358,0.00188050,1.65000000,81761453,81761453,1595459925997,True,True
67395359,0.00188030,0.32000000,81761454,81761454,1595459926112,False,True
67395360,0.00188010,2.24000000,81761455,81761455,1595459930967,True,True
67395361,0.00188000,0.13000000,81761456,81761456,1595459931025,False,True
67395362,0.00187990,3.47000000,81761457,81761457,1595459932644,True,True
67395363,0.00187980,2.82000000,81761458,81761458,1595459932644,True,True
67395364,0.00187980,1.58000000,81761459,81761459,1595459935270,False,True
67395365,0.00187990,5.30000000,81761460,81761460,1595459935579,False,True
67395366,0.00188000,1.03000000,81761461,81761461,1595459935673,False,True
67395367,0.00188000,0.49000000,81761462,81761462,1595459935957,False,True
67395368,0.00187960,2.64000000,81761463,81761463,1595459936516,True,True
67395369,0.00187980,0.43000000,81761464,81761464,1595459936531,False,True
67395370,0.00187960,1.84000000,81761465,81761465,1595459936759,True,True
67395371,0.00187960,106.92000000,81761466,81761466,1595459936772,True,True
67395372,0.00187920,2.37000000,81761467,81761467,1595459936904,True,True
67395373,0.00187890,0.09000000,81761468,81761468,1595459937004,True,True
67395374,0.00187880,0.26000000,81761469,81761469,1595459937004,True,True
67395375,0.00187860,6.03000000,81761470,81761470,1595459937004,True,True
67395376,0.00187880,1.64000000,81761471,81761471,1595459937163,False,True
67395377,0.00187880,0.59000000,81761472,81761472,1595459937251,False,True
67395378,0.00187890,1.48000000,81761473,81761473,1595459937572,False,True
67395379,0.00187850,11.50000000,81761474,81761475,1595459938165,True,True
67395380,0.00187880,1.92000000,81761476,81761476,1595459942290,False,True
67395381,0.00187870,0.18000000,81761477,81761477,1595459942435,False,True
67395382,0.00187900,0.41000000,81761478,81761478,1595459946621,False,True
67395383,0.00187890,5.35000000,81761479,81761479,1595459947817,False,True
67395384,0.00187900,2.10000000,81761480,81761480,1595459948017,False,True
67395385,0.00187980,0.41000000,81761481,81761481,1595459950570,False,True
67395386,0.00188000,4.17000000,81761482,81761483,1595459967818,False,True
67395387,0.00188010,1.89000000,81761484,81761484,1595459969357,False,True
67395388,0.00188060,4.66000000,81761485,81761485,1595459969357,False,True
67395389,0.00187970,0.28000000,81761486,81761486,1595459971227,True,True
67395390,0.00187960,5.35000000,81761487,81761487,1595459971227,True,True
67395391,0.00187950,2.26000000,81761488,81761488,1595459971227,True,True
67395392,0.00187860,0.11000000,81761489,81761489,1595459971227,True,True
67395393,0.00188030,8.37000000,81761490,81761490,1595459981989,False,True
67395394,0.00188050,47.50000000,81761491,81761491,1595459982027,False,True
67395395,0.00188050,68.33000000,81761492,81761492,1595459982031,False,True
67395396,0.00188080,3.14000000,81761493,81761493,1595459982160,False,True
67395397,0.00188140,0.31000000,81761494,81761494,1595459982283,False,True
67395398,0.00188110,1.88000000,81761495,81761495,1595459982755,True,True
67395399,0.00188130,2.40000000,81761496,81761496,1595459982929,True,True
67395400,0.00188100,1.58000000,81761497,81761497,1595459983094,True,True
67395401,0.00188010,1.63000000,81761498,81761498,1595459983485,True,True
67395402,0.00188000,2.47000000,81761499,81761499,1595459983827,False,True
67395403,0.00187980,0.10000000,81761500,81761500,1595459983843,True,True
67395404,0.00187980,1.95000000,81761501,81761501,1595459983941,False,True
67395405,0.00187960,6.00000000,81761502,81761502,1595459984931,True,True
67395406,0.00187960,6.09000000,81761503,81761503,1595459984959,True,True
67395407,0.00187960,4.67000000,81761504,81761504,1595459985020,True,True
67395408,0.00187950,5.74000000,81761505,81761506,1595459985140,True,True
67395409,0.00187960,0.30000000,81761507,81761507,1595459985566,False,True
67395410,0.00187940,0.52000000,81761508,81761508,1595459985741,False,True
67395411,0.00187940,0.32000000,81761509,81761509,1595459985881,False,True
67395412,0.00187960,0.84000000,81761510,81761510,1595459986179,False,True
67395413,0.00187970,0.07000000,81761511,81761511,1595459986372,False,True
67395414,0.00187900,4.09000000,81761512,81761513,1595459987857,True,True
67395415,0.00187920,0.44000000,81761514,81761514,1595459990275,False,True
67395416,0.00187920,0.06000000,81761515,81761515,1595459990505,False,True
67395417,0.00187910,0.56000000,81761516,81761516,1595459990718,False,True
67395418,0.00187840,0.34000000,81761517,81761518,1595459991009,True,True
67395419,0.00187830,17.66000000,81761519,81761519,1595459991009,True,True
67395420,0.00187830,6.37000000,81761520,81761520,1595459991681,True,True
67395421,0.00187830,48.35000000,81761521,81761521,1595459991693,True,True
67395422,0.00187820,1.00000000,81761522,81761522,1595459991693,True,True
67395423,0.00187800,59.43000000,81761523,81761524,1595459991741,True,True
67395424,0.00187770,0.19000000,81761525,81761525,1595459991842,True,True
67395425,0.00187750,0.07000000,81761526,81761526,1595459991842,True,True
67395426,0.00187740,1.34000000,81761527,81761528,1595459991842,True,True
67395427,0.00187720,0.24000000,81761529,81761529,1595459992776,True,True
67395428,0.00187700,6.14000000,81761530,81761531,1595459992776,True,True
67395429,0.00187820,0.08000000,81761532,81761532,1595459993428,True,True
67395430,0.00187860,0.51000000,81761533,81761533,1595459993831,False,True
67395431,0.00187720,3.17000000,81761534,81761534,1595459994082,True,True
67395432,0.00187810,0.91000000,81761535,81761535,1595459996174,False,True
67395433,0.00187810,0.28000000,81761536,81761536,1595459996274,False,True
67395434,0.00187770,0.11000000,81761537,81761537,1595460004765,False,True
67395435,0.00187760,24.25000000,81761538,81761539,1595460004888,False,True
67395436,0.00187760,8.08000000,81761540,81761540,1595460007930,False,True
67395437,0.00187740,50.00000000,81761541,81761542,1595460011387,True,True
67395438,0.00187750,3.41000000,81761543,81761543,1595460012038,True,True
67395439,0.00187810,12.84000000,81761544,81761544,1595460013823,False,True
67395440,0.00187820,99.87000000,81761545,81761545,1595460013823,False,True
67395441,0.00187830,50.00000000,81761546,81761546,1595460013823,False,True
67395442,0.00187890,56.83000000,81761547,81761547,1595460013823,False,True
67395443,0.00187900,3.33000000,81761548,81761548,1595460013823,False,True
67395444,0.00187920,51.56000000,81761549,81761550,1595460013823,False,True
67395445,0.00187930,126.96000000,81761551,81761552,1595460013823,False,True
67395446,0.00187950,1.61000000,81761553,81761553,1595460013823,False,True
67395447,0.00187960,112.05000000,81761554,81761554,1595460013823,False,True
67395448,0.00187970,368.76000000,81761555,81761555,1595460013823,False,True
67395449,0.00187980,208.46000000,81761556,81761557,1595460013823,False,True
67395450,0.00187830,0.19000000,81761558,81761558,1595460014650,True,True
67395451,0.00187830,0.09000000,81761559,81761559,1595460014659,True,True
67395452,0.00187830,0.09000000,81761560,81761560,1595460014670,True,True
67395453,0.00187970,1.89000000,81761561,81761561,1595460018350,False,True
67395454,0.00187970,0.81000000,81761562,81761562,1595460020170,False,True
67395455,0.00187930,85.97000000,81761563,81761565,1595460021354,True,True
67395456,0.00187930,4.06000000,81761566,81761566,1595460021400,True,True
67395457,0.00187940,5.35000000,81761567,81761567,1595460021762,True,True
67395458,0.00187930,6.27000000,81761568,81761568,1595460021762,True,True
67395459,0.00187920,27.03000000,81761569,81761570,1595460021762,True,True
67395460,0.00187900,11.35000000,81761571,81761571,1595460021762,True,True
67395461,0.00187970,3.22000000,81761572,81761573,1595460030970,True,True
67395462,0.00187960,24.61000000,81761574,81761574,1595460030970,True,True
67395463,0.00187950,0.10000000,81761575,81761575,1595460030970,True,True
67395464,0.00187930,20.63000000,81761576,81761576,1595460030970,True,True
67395465,0.00187930,6.86000000,81761577,81761577,1595460030973,True,True
67395466,0.00187930,3.12000000,81761578,81761578,1595460030976,True,True
67395467,0.00187930,3.06000000,81761579,81761579,1595460031343,True,True
67395468,0.00187920,4.59000000,81761580,81761580,1595460031343,True,True
67395469,0.00187990,0.50000000,81761581,81761581,1595460032213,True,True
67395470,0.00188110,0.20000000,81761582,81761582,1595460034298,False,True
67395471,0.00188170,0.23000000,81761583,81761583,1595460039289,False,True
67395472,0.00188130,0.06000000,81761584,81761584,1595460039566,True,True
67395473,0.00188170,0.01000000,81761585,81761585,1595460040273,False,True
67395474,0.00188190,5.25000000,81761586,81761587,1595460040273,False,True
67395475,0.00188250,0.54000000,81761588,81761589,1595460042471,False,True
67395476,0.00188250,0.30000000,81761590,81761590,1595460045256,False,True
67395477,0.00188060,0.12000000,81761591,81761591,1595460050666,True,True
67395478,0.00188150,0.08000000,81761592,81761592,1595460051342,False,True
67395479,0.00188100,1.97000000,81761593,81761593,1595460052736,False,True
67395480,0.00188130,40.45000000,81761594,81761594,1595460052736,False,True
67395481,0.00188130,0.07000000,81761595,81761595,1595460053412,False,True
